设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['正方元锦江国际饭店-河南工业大学', '正方元锦江国际饭店', '河南工业大学', '34.76551,113.75021', '34.83330,113.55796', '状态201 break break', 'na na']
设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['大河锦悦酒店-郑州工程技术学院', '大河锦悦酒店', '郑州工程技术学院', '34.77312,113.72914', '34.86633,113.65609', ('状态0', '16219', '1593'), 'na na']
['大河锦悦酒店-郑州师范学院', '大河锦悦酒店', '郑州师范学院', '34.77312,113.72914', '34.86471,113.62637', ('状态0', '18610', '1877'), 'na na']
['大河锦悦酒店-郑州市体育馆', '大河锦悦酒店', '郑州市体育馆', '34.77312,113.72914', '34.76295,113.67994', ('状态0', '6696', '946'), 'na na']
['大河锦悦酒店-郑州市体育场', '大河锦悦酒店', '郑州市体育场', '34.77312,113.72914', '34.76295,113.67994', ('状态0', '6696', '946'), 'na na']
['大河锦悦酒店-华北水利水电大学', '大河锦悦酒店', '华北水利水电大学', '34.77312,113.72914', '34.77593,113.76580', ('状态0', '5888', '867'), 'na na']
['大河锦悦酒店-北龙湖', '大河锦悦酒店', '北龙湖', '34.77312,113.72914', '34.81829,113.74043', ('状态0', '9536', '862'), 'na na']
['大河锦悦酒店-郑州奥体中心体育馆', '大河锦悦酒店', '郑州奥体中心体育馆', '34.77312,113.72914', '34.73476,113.54065', ('状态0', '25180', '1671'), 'na na']
['丰乐园酒店-河南工业大学', '丰乐园酒店', '河南工业大学', '34.80962,113.64053', '34.83330,113.55796', ('状态0', '10253', '1391'), 'na na']
['丰乐园酒店-郑州大学', '丰乐园酒店', '郑州大学', '34.80962,113.64053', '34.81414,113.54220', ('状态0', '10420', '1404'), 'na na']
['丰乐园酒店-郑州工程技术学院', '丰乐园酒店', '郑州工程技术学院', '34.80962,113.64053', '34.86633,113.65609', ('状态0', '9379', '1866'), 'na na']
['丰乐园酒店-郑州师范学院', '丰乐园酒店', '郑州师范学院', '34.80962,113.64053', '34.86471,113.62637', ('状态0', '8952', '1416'), 'na na']
['丰乐园酒店-郑州市体育馆', '丰乐园酒店', '郑州市体育馆', '34.80962,113.64053', '34.76295,113.67994', ('状态0', '7355', '1720'), 'na na']
['丰乐园酒店-郑州市体育场', '丰乐园酒店', '郑州市体育场', '34.80962,113.64053', '34.76295,113.67994', ('状态0', '7355', '1720'), 'na na']
['丰乐园酒店-华北水利水电大学', '丰乐园酒店', '华北水利水电大学', '34.80962,113.64053', '34.77593,113.76580', ('状态0', '19538', '2131'), 'na na']
['丰乐园酒店-北龙湖', '丰乐园酒店', '北龙湖', '34.80962,113.64053', '34.81829,113.74043', ('状态0', '11530', '1645'), 'na na']
['丰乐园酒店-郑州奥体中心体育馆', '丰乐园酒店', '郑州奥体中心体育馆', '34.80962,113.64053', '34.73476,113.54065', ('状态0', '20758', '1872'), 'na na']
['海容大酒店-河南工业大学', '海容大酒店', '河南工业大学', '34.77406,113.75533', '34.83330,113.55796', ('状态0', '23754', '2134'), 'na na']
['海容大酒店-郑州大学', '海容大酒店', '郑州大学', '34.77406,113.75533', '34.81414,113.54220', ('状态0', '23515', '2059'), 'na na']
['海容大酒店-郑州工程技术学院', '海容大酒店', '郑州工程技术学院', '34.77406,113.75533', '34.86633,113.65609', ('状态0', '18682', '1917'), 'na na']
['海容大酒店-郑州师范学院', '海容大酒店', '郑州师范学院', '34.77406,113.75533', '34.86471,113.62637', ('状态0', '21073', '2210'), 'na na']
['海容大酒店-郑州市体育馆', '海容大酒店', '郑州市体育馆', '34.77406,113.75533', '34.76295,113.67994', ('状态0', '8549', '1179'), 'na na']
['海容大酒店-郑州市体育场', '海容大酒店', '郑州市体育场', '34.77406,113.75533', '34.76295,113.67994', ('状态0', '8549', '1179'), 'na na']
['海容大酒店-华北水利水电大学', '海容大酒店', '华北水利水电大学', '34.77406,113.75533', '34.77593,113.76580', ('状态0', '1586', '307'), 'na na']
['海容大酒店-北龙湖', '海容大酒店', '北龙湖', '34.77406,113.75533', '34.81829,113.74043', ('状态0', '7556', '1055'), 'na na']
['海容大酒店-郑州奥体中心体育馆', '海容大酒店', '郑州奥体中心体育馆', '34.77406,113.75533', '34.73476,113.54065', ('状态0', '26774', '1906'), 'na na']
['河南天地粤海酒店-河南工业大学', '河南天地粤海酒店', '河南工业大学', '34.79197,113.70389', '34.83330,113.55796', ('状态0', '19749', '1730'), 'na na']
['河南天地粤海酒店-郑州大学', '河南天地粤海酒店', '郑州大学', '34.79197,113.70389', '34.81414,113.54220', ('状态0', '19510', '1668'), 'na na']
['河南天地粤海酒店-郑州工程技术学院', '河南天地粤海酒店', '郑州工程技术学院', '34.79197,113.70389', '34.86633,113.65609', ('状态0', '14677', '1512'), 'na na']
['河南天地粤海酒店-郑州师范学院', '河南天地粤海酒店', '郑州师范学院', '34.79197,113.70389', '34.86471,113.62637', ('状态0', '17068', '1798'), 'na na']
['河南天地粤海酒店-郑州市体育馆', '河南天地粤海酒店', '郑州市体育馆', '34.79197,113.70389', '34.76295,113.67994', ('状态0', '7369', '1258'), 'na na']
['河南天地粤海酒店-郑州市体育场', '河南天地粤海酒店', '郑州市体育场', '34.79197,113.70389', '34.76295,113.67994', ('状态0', '7369', '1258'), 'na na']
['河南天地粤海酒店-华北水利水电大学', '河南天地粤海酒店', '华北水利水电大学', '34.79197,113.70389', '34.77593,113.76580', ('状态0', '8915', '1325'), 'na na']
['河南天地粤海酒店-北龙湖', '河南天地粤海酒店', '北龙湖', '34.79197,113.70389', '34.81829,113.74043', ('状态0', '7994', '785'), 'na na']
['河南天地粤海酒店-郑州奥体中心体育馆', '河南天地粤海酒店', '郑州奥体中心体育馆', '34.79197,113.70389', '34.73476,113.54065', ('状态0', '23434', '1961'), 'na na']
['中州皇冠假日酒店-河南工业大学', '中州皇冠假日酒店', '河南工业大学', '34.76811,113.70074', '34.83330,113.55796', ('状态0', '23064', '2186'), 'na na']
['中州皇冠假日酒店-郑州大学', '中州皇冠假日酒店', '郑州大学', '34.76811,113.70074', '34.81414,113.54220', ('状态0', '23231', '2189'), 'na na']
['中州皇冠假日酒店-郑州工程技术学院', '中州皇冠假日酒店', '郑州工程技术学院', '34.76811,113.70074', '34.86633,113.65609', ('状态0', '18398', '2062'), 'na na']
['中州皇冠假日酒店-郑州师范学院', '中州皇冠假日酒店', '郑州师范学院', '34.76811,113.70074', '34.86471,113.62637', ('状态0', '22062', '2220'), 'na na']
['中州皇冠假日酒店-郑州市体育馆', '中州皇冠假日酒店', '郑州市体育馆', '34.76811,113.70074', '34.76295,113.67994', ('状态0', '4580', '1021'), 'na na']
['中州皇冠假日酒店-郑州市体育场', '中州皇冠假日酒店', '郑州市体育场', '34.76811,113.70074', '34.76295,113.67994', ('状态0', '4580', '1021'), 'na na']
['中州皇冠假日酒店-华北水利水电大学', '中州皇冠假日酒店', '华北水利水电大学', '34.76811,113.70074', '34.77593,113.76580', ('状态0', '7742', '1154'), 'na na']
['中州皇冠假日酒店-北龙湖', '中州皇冠假日酒店', '北龙湖', '34.76811,113.70074', '34.81829,113.74043', ('状态0', '11715', '1305'), 'na na']
['中州皇冠假日酒店-郑州奥体中心体育馆', '中州皇冠假日酒店', '郑州奥体中心体育馆', '34.76811,113.70074', '34.73476,113.54065', ('状态0', '23222', '2260'), 'na na']
['弘润华夏大酒店-河南工业大学', '弘润华夏大酒店', '河南工业大学', '34.81157,113.63875', '34.83330,113.55796', ('状态0', '10243', '1339'), 'na na']
['弘润华夏大酒店-郑州大学', '弘润华夏大酒店', '郑州大学', '34.81157,113.63875', '34.81414,113.54220', ('状态0', '10410', '1351'), 'na na']
['弘润华夏大酒店-郑州工程技术学院', '弘润华夏大酒店', '郑州工程技术学院', '34.81157,113.63875', '34.86633,113.65609', ('状态0', '11527', '1743'), 'na na']
['弘润华夏大酒店-郑州师范学院', '弘润华夏大酒店', '郑州师范学院', '34.81157,113.63875', '34.86471,113.62637', ('状态0', '8942', '1359'), 'na na']
['弘润华夏大酒店-郑州市体育馆', '弘润华夏大酒店', '郑州市体育馆', '34.81157,113.63875', '34.76295,113.67994', ('状态0', '7652', '1722'), 'na na']
['弘润华夏大酒店-郑州市体育场', '弘润华夏大酒店', '郑州市体育场', '34.81157,113.63875', '34.76295,113.67994', ('状态0', '7652', '1722'), 'na na']
['弘润华夏大酒店-华北水利水电大学', '弘润华夏大酒店', '华北水利水电大学', '34.81157,113.63875', '34.77593,113.76580', ('状态0', '19528', '2084'), 'na na']
['弘润华夏大酒店-北龙湖', '弘润华夏大酒店', '北龙湖', '34.81157,113.63875', '34.81829,113.74043', ('状态0', '11520', '1583'), 'na na']
['弘润华夏大酒店-郑州奥体中心体育馆', '弘润华夏大酒店', '郑州奥体中心体育馆', '34.81157,113.63875', '34.73476,113.54065', ('状态0', '20748', '1812'), 'na na']
['郑州华智酒店-河南工业大学', '郑州华智酒店', '河南工业大学', '34.81134,113.54544', '34.83330,113.55796', ('状态0', '3574', '524'), 'na na']
['郑州华智酒店-郑州大学', '郑州华智酒店', '郑州大学', '34.81134,113.54544', '34.81414,113.54220', ('状态0', '624', '93'), 'na na']
['郑州华智酒店-郑州工程技术学院', '郑州华智酒店', '郑州工程技术学院', '34.81134,113.54544', '34.86633,113.65609', ('状态0', '19704', '2476'), 'na na']
['郑州华智酒店-郑州师范学院', '郑州华智酒店', '郑州师范学院', '34.81134,113.54544', '34.86471,113.62637', ('状态0', '14412', '2119'), 'na na']
['郑州华智酒店-郑州市体育馆', '郑州华智酒店', '郑州市体育馆', '34.81134,113.54544', '34.76295,113.67994', ('状态0', '17502', '2314'), 'na na']
['郑州华智酒店-郑州市体育场', '郑州华智酒店', '郑州市体育场', '34.81134,113.54544', '34.76295,113.67994', ('状态0', '17502', '2314'), 'na na']
['郑州华智酒店-华北水利水电大学', '郑州华智酒店', '华北水利水电大学', '34.81134,113.54544', '34.77593,113.76580', ('状态0', '27890', '2692'), 'na na']
['郑州华智酒店-北龙湖', '郑州华智酒店', '北龙湖', '34.81134,113.54544', '34.81829,113.74043', ('状态0', '19882', '2190'), 'na na']
['郑州华智酒店-郑州奥体中心体育馆', '郑州华智酒店', '郑州奥体中心体育馆', '34.81134,113.54544', '34.73476,113.54065', ('状态0', '21698', '1978'), 'na na']
['汇艺万怡酒店-河南工业大学', '汇艺万怡酒店', '河南工业大学', '34.76031,113.77730', '34.83330,113.55796', ('状态0', '27370', '2603'), 'na na']
