设备序列号 起点 终点 状态码  步行路程(米) 步行耗时(秒)
河南天地粤海酒店-河南工业大学', '34.79197,113.70389', '34.83330,113.55796', 状态0', '19749', '1733'], 'na na']
河南天地粤海酒店-郑州大学', '34.79197,113.70389', '34.81414,113.54220', 状态0', '19510', '1645'], 'na na']
河南天地粤海酒店-郑州工程技术学院', '34.79197,113.70389', '34.86633,113.65609', 状态0', '14677', '1582'], 'na na']
河南天地粤海酒店-郑州师范学院', '34.79197,113.70389', '34.86471,113.62637', 状态0', '17459', '1530'], 'na na']
河南天地粤海酒店-郑州市体育馆', '34.79197,113.70389', '34.76295,113.67994', 状态0', '7369', '1149'], 'na na']
河南天地粤海酒店-郑州市体育场', '34.79197,113.70389', '34.76295,113.67994', 状态0', '7369', '1150'], 'na na']
河南天地粤海酒店-华北水利水电大学', '34.79197,113.70389', '34.77593,113.76580', 状态0', '8915', '930'], 'na na']
河南天地粤海酒店-北龙湖', '34.79197,113.70389', '34.81829,113.74043', 状态0', '7994', '773'], 'na na']
河南天地粤海酒店-郑州奥体中心体育馆', '34.79197,113.70389', '34.73476,113.54065', 状态0', '23434', '2056'], 'na na']
中州皇冠假日酒店-河南工业大学', '34.76811,113.70074', '34.83330,113.55796', 状态0', '23470', '2283'], 'na na']
中州皇冠假日酒店-郑州大学', '34.76811,113.70074', '34.81414,113.54220', 状态0', '20498', '2274'], 'na na']
中州皇冠假日酒店-郑州工程技术学院', '34.76811,113.70074', '34.86633,113.65609', 状态0', '15665', '2207'], 'na na']
中州皇冠假日酒店-郑州师范学院', '34.76811,113.70074', '34.86471,113.62637', 状态0', '21180', '2083'], 'na na']
中州皇冠假日酒店-郑州市体育馆', '34.76811,113.70074', '34.76295,113.67994', 状态0', '3328', '565'], 'na na']
中州皇冠假日酒店-郑州市体育场', '34.76811,113.70074', '34.76295,113.67994', 状态0', '3328', '565'], 'na na']
中州皇冠假日酒店-华北水利水电大学', '34.76811,113.70074', '34.77593,113.76580', 状态0', '7742', '957'], 'na na']
中州皇冠假日酒店-北龙湖', '34.76811,113.70074', '34.81829,113.74043', 状态0', '11715', '1292'], 'na na']
中州皇冠假日酒店-郑州奥体中心体育馆', '34.76811,113.70074', '34.73476,113.54065', 状态0', '22765', '1683'], 'na na']
弘润华夏大酒店-河南工业大学', '34.81157,113.63875', '34.83330,113.55796', 状态0', '10242', '1289'], 'na na']
弘润华夏大酒店-郑州大学', '34.81157,113.63875', '34.81414,113.54220', 状态0', '10409', '1242'], 'na na']
弘润华夏大酒店-郑州工程技术学院', '34.81157,113.63875', '34.86633,113.65609', 状态0', '11527', '1789'], 'na na']
弘润华夏大酒店-郑州师范学院', '34.81157,113.63875', '34.86471,113.62637', 状态0', '8059', '1148'], 'na na']
弘润华夏大酒店-郑州市体育馆', '34.81157,113.63875', '34.76295,113.67994', 状态0', '7651', '1479'], 'na na']
弘润华夏大酒店-郑州市体育场未知错误
弘润华夏大酒店-华北水利水电大学', '34.81157,113.63875', '34.77593,113.76580', 状态0', '17584', '1943'], 'na na']
弘润华夏大酒店-北龙湖', '34.81157,113.63875', '34.81829,113.74043', 状态0', '13272', '1238'], 'na na']
弘润华夏大酒店-郑州奥体中心体育馆', '34.81157,113.63875', '34.73476,113.54065', 状态0', '20747', '1561'], 'na na']
郑州华智酒店-河南工业大学', '34.81134,113.54544', '34.83330,113.55796', 状态0', '3574', '572'], 'na na']
郑州华智酒店-郑州大学', '34.81134,113.54544', '34.81414,113.54220', 状态0', '624', '99'], 'na na']
郑州华智酒店-郑州工程技术学院', '34.81134,113.54544', '34.86633,113.65609', 状态0', '19704', '2346'], 'na na']
郑州华智酒店-郑州师范学院', '34.81134,113.54544', '34.86471,113.62637', 状态0', '13834', '1693'], 'na na']
郑州华智酒店-郑州市体育馆', '34.81134,113.54544', '34.76295,113.67994', 状态0', '17502', '2087'], 'na na']
郑州华智酒店-郑州市体育场', '34.81134,113.54544', '34.76295,113.67994', 状态0', '17502', '2087'], 'na na']
郑州华智酒店-华北水利水电大学', '34.81134,113.54544', '34.77593,113.76580', 状态0', '25946', '2513'], 'na na']
郑州华智酒店-北龙湖', '34.81134,113.54544', '34.81829,113.74043', 状态0', '19882', '1898'], 'na na']
郑州华智酒店-郑州奥体中心体育馆', '34.81134,113.54544', '34.73476,113.54065', 状态0', '21698', '1826'], 'na na']
汇艺万怡酒店-河南工业大学', '34.76031,113.77730', '34.83330,113.55796', 状态0', '27370', '2824'], 'na na']
汇艺万怡酒店-郑州大学', '34.76031,113.77730', '34.81414,113.54220', 状态0', '27131', '2741'], 'na na']
汇艺万怡酒店-郑州工程技术学院', '34.76031,113.77730', '34.86633,113.65609', 状态0', '22298', '2651'], 'na na']
汇艺万怡酒店-郑州师范学院', '34.76031,113.77730', '34.86471,113.62637', 状态0', '25080', '2611'], 'na na']
汇艺万怡酒店-郑州市体育馆', '34.76031,113.77730', '34.76295,113.67994', 状态0', '11500', '1985'], 'na na']
